State,Facility Name,Facility ID,Year,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu),Disadvantaged?,Not Disadvantaged,Tract Status?,,,,,
NY,"Syracuse, LLC",10621,2017,22188.57,,0.053,10500.612,4.82,176702.28,0,1,Not Disadvantaged,,,,335560.39,
NY,Selkirk Cogen Partners,10725,2017,246543.09,,0.611,121011.975,35.343,2036225.892,0,1,Not Disadvantaged,,,,12898,
NY,Bethpage Energy Center,50292,2017,722544.86,,1.665,329677.038,216.324,5547313.631,0,1,Not Disadvantaged,,,,1697814.28,
NY,Indeck-Silver Springs Energy Center,50449,2017,58555,,0.167,33046.775,30.97,556089.875,1,0,Disadvantaged,,,,,
NY,Indeck-Oswego Energy Center,50450,2017,57770.25,,0.155,30783.2,33.75,517962.7,1,0,Disadvantaged,,,,,
NY,Indeck-Yerkes Energy Center,50451,2017,51714,,0.151,29853.725,37.78,502372.35,0,1,Not Disadvantaged,,,,163941.12,
NY,Indeck-Corinth Energy Center,50458,2017,684681.25,,1.644,326133.85,70.977,5479222.525,0,1,Not Disadvantaged,,,,35916.91,
NY,Sterling Power Plant,50744,2017,9370.77,,0.033,6451.051,7.079,108551.173,0,0,Error,,,,,
NY,Carr Street Generating Station,50978,2017,67753.89,,0.216,42782.095,10.198,719882.083,1,0,Disadvantaged,,,,,
NY,Nassau Energy Corporation,52056,2017,306670.67,,1.051,202920.324,229.252,3414422.749,0,1,Not Disadvantaged,,,,22188.57,
NY,Rensselaer Cogen,54034,2017,6099.79,,0.017,3290.869,0.966,55382.971,1,0,Disadvantaged,,,,,
NY,Lockport,54041,2017,106806.09,,0.367,68723.217,99.003,1156478.817,0,1,Not Disadvantaged,,,,246543.09,
NY,Indeck-Olean Energy Center,54076,2017,85337,,0.23,45535.025,14.997,766197.6,0,1,Not Disadvantaged,,,,722544.86,
NY,KIAC Cogeneration,54114,2017,549500.26,,1.588,313459.828,69.028,5274667.319,0,1,Not Disadvantaged,,,,51714,
NY,Fortistar North Tonawanda Inc,54131,2017,8255,,0.029,5755.6,3.972,96840.45,0,1,Not Disadvantaged,,,,684681.25,
NY,Nissequogue Energy Center,54149,2017,311190.27,,1.039,205822.982,134.601,3463388.226,0,1,Not Disadvantaged,,,,306670.67,
NY,Independence,54547,2017,4248225.11,,9.224,1827176.195,256.789,30745773.86,0,1,Not Disadvantaged,,,,106806.09,
NY,"Saranac Power Partners, LP",54574,2017,60258.21,,0.17,33688.692,8.341,566894.487,0,1,Not Disadvantaged,,,,85337,
NY,Massena Energy Facility,54592,2017,2927.59,,0.014,2855.776,15.86,48053.786,1,0,Disadvantaged,,,,,
NY,Batavia Energy,54593,2017,19465.25,,0.057,11352.15,11.076,191026.975,1,0,Disadvantaged,,,,,
NY,Brooklyn Navy Yard Cogeneration,54914,2017,1604806.91,,5.505,1092138.727,63.213,18309812.01,0,1,Not Disadvantaged,,,,549500.26,
NY,Astoria Gas Turbine Power,55243,2017,37024,,2.756,25980,108.214,436358.4,0,1,Not Disadvantaged,,,,8255,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
