State,Facility Name,Facility ID,Year,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu),Disadvantaged?,Not Disadvantaged,Tract Status?
NY,Arthur Kill,2490,2010,1020219.5,,3.166,627182.55,475.094,10566475.28,0,1,Not Disadvantaged
NY,East River,2493,2010,2496264,9520582.5,88.475,2420393.65,1073.227,40532446.55,0,1,Not Disadvantaged
NY,Ravenswood Generating Station,2500,2010,3722552.25,,260,2117359.675,1059.198,35173700.93,0,1,Not Disadvantaged
NY,E F Barrett,2511,2010,1218000.25,,12.428,890270.65,764.492,14972359.1,0,1,Not Disadvantaged
NY,Glenwood,2514,2010,168672.5,,9.851,150789.1,91.627,2524144.325,0,1,Not Disadvantaged
NY,Northport,2516,2010,4272198.5,,1827.215,3053542.4,2344.582,49503424.58,0,1,Not Disadvantaged
NY,Port Jefferson Energy Center,2517,2010,568086,,282.492,427778.125,243.089,6904224.975,0,1,Not Disadvantaged
NY,West Babylon Facility,2521,2010,1775,,3.399,2002.5,7.676,24720.5,0,1,Not Disadvantaged
NY,"Cayuga Operating Company, LLC",2535,2010,1955710.06,,11087.649,1889770.062,2618.036,18418817.13,0,1,Not Disadvantaged
NY,Bethlehem Energy Center (Albany),2539,2010,2844660.93,,9.41,1802421.79,123.048,30323624.66,0,1,Not Disadvantaged
NY,Oswego Harbor Power,2594,2010,69295.01,,361.594,69661.952,88.583,866360.954,1,0,Disadvantaged
NY,Bowline Generating Station,2625,2010,331222.52,,3.519,224887.567,265.527,3793642.072,1,0,Disadvantaged
NY,Hillburn,2628,2010,148,,0.07,210.05,0.84,2589.875,0,1,Not Disadvantaged
NY,Shoemaker,2632,2010,1098,,0.485,1460.375,9.169,17996.175,0,1,Not Disadvantaged
NY,Freeport Power Plant No. 2,2679,2010,55809.5,,0.183,33486.8,3.873,563495.35,1,0,Disadvantaged
NY,S A Carlson,2682,2010,18043.25,621653.25,1271.537,116163.903,214.996,1206068.775,1,0,Disadvantaged
NY,Somerset Operating Company  (Kintigh),6082,2010,4807776.43,,7617.64,4399354.327,4515.989,42878734.97,0,1,Not Disadvantaged
NY,Wading River Facility,7146,2010,68534,,110.668,74568.7,103.865,919043.325,0,1,Not Disadvantaged
NY,Richard M Flynn (Holtsville),7314,2010,636512.2,,6.081,455709.986,108.456,7645851.902,0,1,Not Disadvantaged
NY,Glenwood Landing Energy Center,7869,2010,106579.75,,0.284,61638.275,8.071,1034605.475,0,1,Not Disadvantaged
NY,Vernon Boulevard,7909,2010,72265.5,,0.207,40943.811,3.519,688951.265,0,1,Not Disadvantaged
NY,23rd and 3rd,7910,2010,156941.91,,0.459,90954.276,7.761,1530523.67,0,1,Not Disadvantaged
NY,Brentwood,7912,2010,70249.35,,0.195,38525.567,3.196,648246.496,1,0,Disadvantaged
NY,Hell Gate,7913,2010,45083.19,,0.133,26390.76,2.316,444033.323,1,0,Disadvantaged
